dt,lat,lng,altitude,angle,speed,params
2022-05-18 00:01:53,3.844337,11.496282,695,58,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342708, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:04:54,3.844337,11.496282,695,58,0,"gpslev=12, gsmlev=5, hdop=0.3, io1=0, io16=19342708, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
2022-05-18 00:07:54,3.844337,11.496282,695,58,0,"gpslev=12, gsmlev=5, hdop=0.3, io1=0, io16=19342708, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:10:54,3.84428,11.496222,698,83,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342717, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
2022-05-18 00:13:55,3.84428,11.496222,698,83,0,"gpslev=13, gsmlev=5, hdop=0.4, io1=0, io16=19342717, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.7"
2022-05-18 00:16:55,3.8443,11.496178,696,358,0,"gpslev=11, gsmlev=5, hdop=0.4, io1=0, io16=19342721, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:19:55,3.84425,11.496183,697,83,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342729, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:22:55,3.84428,11.496177,698,81,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342729, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:25:56,3.844313,11.496203,700,76,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342735, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:28:56,3.84428,11.496177,701,96,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342738, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:31:57,3.844237,11.496163,702,91,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:34:57,3.844262,11.496177,702,58,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:37:57,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.4, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:40:58,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.6"
2022-05-18 00:43:57,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:46:58,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:49:58,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:52:59,3.844262,11.496177,702,58,0,"gpslev=13, gsmlev=5, hdop=0.4, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:55:59,3.844237,11.496158,696,6,0,"gpslev=13, gsmlev=5, hdop=0.3, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 00:59:00,3.844237,11.496158,696,6,0,"gpslev=12, gsmlev=5, hdop=0.4, io1=0, io16=19342748, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
2022-05-18 01:02:00,3.844287,11.496158,699,34,0,"gpslev=14, gsmlev=5, hdop=0.3, io1=0, io16=19342752, io175=-1, io179=0, io180=0, io2=0, io205=6325, io206=213, io236=0, io239=1, io24=0, io240=1, io241=62401, io247=0, io250=1, io252=0, io253=0, io3=0, io66=13299, io67=4113, io68=0, io69=1, io9=174, pdop=0.5"
